ДАННЫЕ С БИРЖИ MOEX
27.01892,USDTRY
3.575,TRYRUB
96.545,USDRUB_TOM

yapikredi https://www.yapikredi.com.tr/yatirimci-kosesi/doviz-bilgileri
Валюта,Покупка,Продажа,18.09.2023 21:53
YENİ ÇEYREKYENİ ÇEYREK,2.774,2.810,18.09.2023 21:42
ESKİ ÇEYREKESKİ ÇEYREK,2.769,2.796,18.09.2023 21:42
YENİ YARIMYENİ YARIM,5.566,5.620,18.09.2023 21:42
ESKİ YARIMESKİ YARIM,5.549,5.602,18.09.2023 21:42
YENİ TAMYENİ TAM,11.098,11.193,18.09.2023 21:42
ESKİ TAMESKİ TAM,11.072,11.170,18.09.2023 21:42
YENİ ATAYENİ ATA,11.393,11.484,18.09.2023 21:42
ESKİ ATAESKİ ATA,11.392,11.479,18.09.2023 21:42
YENİ ATA5YENİ ATA5,56.770,57.345,18.09.2023 21:42
ESKİ ATA5ESKİ ATA5,56.685,57.260,18.09.2023 21:42
YENİ GREMSEYENİ GREMSE,27.574,27.926,18.09.2023 21:42
ESKİ GREMSEESKİ GREMSE,27.574,27.840,18.09.2023 21:42
14 AYAR14 AYAR,946,13,1.127,03,18.09.2023 21:42
GÜMÜŞ TLGÜMÜŞ TL,19,974,20,798,18.09.2023 21:42
GÜMÜŞ ONSGÜMÜŞ ONS,23,20,23,22,18.09.2023 21:42
GÜMÜŞ USDGÜMÜŞ USD,741,00,769,00,18.09.2023 21:42
PLATİN ONSPLATİN ONS,935,00,938,00,18.09.2023 21:42
PALADYUM ONSPALADYUM ONS,1.245,00,1.251,00,18.09.2023 21:42
PLATİN/USDPLATİN/USD,25.070,30.140,18.09.2023 21:42
PALADYUM/USDPALADYUM/USD,30.010,40.230,18.09.2023 21:42

https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+page+site+area/bugun
Валюта,Покупка Факс,Продажа Факс,Покупка нал,Продажа нал,18.09.2023 21:43
USD/TRY,26.9814,27.0300,26.9625,27.0705,18.09.2023 21:43
AUD/TRY,17.3318,17.4448,17.2520,17.5495,18.09.2023 21:43
DKK/TRY,3.8533,3.8723,3.8506,3.8812,18.09.2023 21:43
EUR/TRY,28.7754,28.8273,28.7553,28.8705,18.09.2023 21:43
GBP/TRY,33.3715,33.5455,33.3481,33.5958,18.09.2023 21:43
CHF/TRY,30.0329,30.2258,29.9879,30.2711,18.09.2023 21:43
SEK/TRY,2.3956,2.4204,2.3939,2.4260,18.09.2023 21:43
CAD/TRY,19.9473,20.0372,19.8734,20.1134,18.09.2023 21:43
KWD/TRY,86.8521,87.9886,85.5493,89.3084,18.09.2023 21:43
NOK/TRY,2.4824,2.4991,2.4806,2.5048,18.09.2023 21:43
SAR/TRY,7.1931,7.2060,7.1391,7.2601,18.09.2023 21:43
JPY/TRY,18.2300,18.3507,18.1625,18.4204,18.09.2023 21:43
BGN/TRY,14.6300,14.8214,,,18.09.2023 21:43
RON/TRY,5.7589,5.8343,,,18.09.2023 21:43
RUB/TRY,0.27782,0.28146,,,18.09.2023 21:43
IRR/TRY,0.06388,0.06472,,,18.09.2023 21:43
CNY/TRY,3.6786,3.7267,,,18.09.2023 21:43
PKR/TRY,0.09141,0.09261,,,18.09.2023 21:43
QAR/TRY,7.3581,7.4544,,,18.09.2023 21:43
KRW/TRY,0.02024,0.02050,,,18.09.2023 21:43
AZN/TRY,15.7824,15.9890,,,18.09.2023 21:43
AED/TRY,7.3047,7.4003,,,18.09.2023 21:43

https://www.akbank.com/doviz-kurlari
AED,7.6756,7.1443,18.09.2023 21:43
AUD,18.1409,16.885,18.09.2023 21:43
CAD,20.8993,19.4507,18.09.2023 21:43
CHF,31.5074,29.4987,18.09.2023 21:43
CNY,3.9269,3.6112,18.09.2023 21:43
DKK,4.0399,3.7601,18.09.2023 21:43
EUR,30.2098,28.287,18.09.2023 21:43
GBP,35.0175,32.7861,18.09.2023 21:43
JPY,19.0841,17.7628,18.09.2023 21:43
KWD,92.693,85.2191,18.09.2023 21:43
NOK,2.6055,2.4242,18.09.2023 21:43
PLN,6.489,6.0364,18.09.2023 21:43
RON,6.0656,5.6383,18.09.2023 21:43
RUB,0.2968,0.2581,18.09.2023 21:43
SAR,7.6335,7.0184,18.09.2023 21:43
SEK,2.5261,2.3505,18.09.2023 21:43
USD,28.281,26.481,18.09.2023 21:43
XAG,20.983,19.52,18.09.2023 21:43
XAU,1747.78,1636.302,18.09.2023 21:43
XPT,848.719,785.223,18.09.2023 21:43
ZAR,1.4834,1.38,18.09.2023 21:43

https://www.anadolubank.com.tr/doviz-kurlari
AVRUPA PARA BIRIMI,28.30011,30.02959,18.09.2023 21:43
ABD DOLARI,26.49044,28.08224,18.09.2023 21:43
ALTIN,1638.184,1736.588,18.09.2023 21:43
STERLIN,32.80293,34.80502,18.09.2023 21:43
ISVICRE FRANGI,29.51697,31.32293,18.09.2023 21:43
100 JAPON YENI,17.9397,19.0246,18.09.2023 21:43
KANADA DOLARI,19.65019,20.81823,18.09.2023 21:43
NORVEC KRONU,2.44806,2.5972,18.09.2023 21:43
GÜMÜŞ,19.75279,21.01976,18.09.2023 21:43

http://www.kktcmerkezbankasi.org/tr/veriler/doviz_kurlari/kur_sorgulama

Kur Tarihi: *

Date *

 E.g., 18/09/2023



,,,18.09.2023 21:43
USD,26.93000,26.97850,18.09.2023 21:43
AUD,17.34800,17.46120,18.09.2023 21:43
DKK,3.84420,3.86310,18.09.2023 21:43
EUR,28.70980,28.76160,18.09.2023 21:43
GBP,33.40520,33.57930,18.09.2023 21:43
CHF,29.99830,30.19090,18.09.2023 21:43
SEK,2.40130,2.42610,18.09.2023 21:43
CAD,19.90630,19.99610,18.09.2023 21:43
KWD,86.67530,87.80940,18.09.2023 21:43
NOK,2.50760,2.52450,18.09.2023 21:43

https://www.iktisatbank.com/doviz-kurlari
Amerikan Doları (USD),26.8090,27.2900,18.09.2023 21:43
Euro (EUR),28.5930,29.1105,18.09.2023 21:43
İngiliz Sterlini (GBP),33.2110,33.8120,18.09.2023 21:43
Euro/Amerikan Doları ( EUR/USD),1.0477,1.0858,18.09.2023 21:43
Avustralya Doları (AUD),17.2515,17.5665,18.09.2023 21:43
Danimarka Kronu (DKK),3.8360,3.9045,18.09.2023 21:43
İsveç Kronu (SEK),2.3880,2.4300,18.09.2023 21:43
İsviçre Frangı (CHF),29.8840,30.4135,18.09.2023 21:43
Japon Yeni (JPY),0.1815,0.1850,18.09.2023 21:43
Kanada Doları (CAD),19.9000,20.2510,18.09.2023 21:43
Norveç Kronu (NOK),2.4780,2.5220,18.09.2023 21:43

https://www.ing.com.tr/tr/bilgi-destek/yatirim/doviz-kurlari
USD,25.6769,27.647598,18.09.2023 21:43
EUR,27.699871,29.778193,18.09.2023 21:43
GBP,32.453398,34.658797,18.09.2023 21:43
